ND,DC,EC,LC,CC,BC,FR
" [Anonymous], 2011, SCH SAFETY BASELIN",0.000153163,7.64E-13,0,0.093491802,0,0
" [Anonymous], 2012, DISASTER RISK REDUC",0.000153163,7.64E-13,0,0.093491802,0,0
" [Anonymous], 2012, PENGEMBANGAN KREATI",0.000153163,1.33E-11,0,0.115809639,0,0
" [Anonymous], 2013, KERANGKA DASAR STRU",0.000153163,2.23E-16,0,0.077010179,0,0
" [Anonymous], 2014, J ILMIAH PENDIDIKAN",0.000153163,4.01E-18,0,0.062687828,0,0
" [Anonymous], 2014, MENTERI PENDIDIK NAS",0.000153163,2.79E-18,0,0.068082045,0,0
" [Anonymous], 2015, J ILM ED RES",0.000153163,1.06E-16,0,0.071186367,0,0
" [Anonymous], 2016, [NO TITLE CAPTURED",0.000153163,2.22E-18,0,0.07621905,0,0
" [Anonymous], 2016, PERATURAN MENTERI P",0.000153163,4.15E-12,0,0.109032915,0,0
" [Anonymous], 2016, TOP 10 MOST BIODIVE",0.000153163,2.89E-16,0,0.077050167,0,0
" [Anonymous], 2017, JURNAL PENELITIAN PE",0.000153163,4.01E-18,0,0.062687828,0,0
" [Anonymous], 2017, LAPORAN PENDIDIKAN ",0.000153163,3.17E-14,0,0.098350531,0,0
" [Anonymous], 2018, INT J INFORM THEOR ",0.000153163,1.42E-08,0,0.095409975,0,0
" [Anonymous], 2018, OECD ENVIRONMENTAL POLICY PAPER",0.000153163,3.91E-12,0,0.078804118,0,0
" [Anonymous], 2018, UNTIRTA CIV ED J",0.000153163,1.06E-16,0,0.071186367,0,0
" [Anonymous], 2019, AM J INTELL SYST",0.000153163,0.000281417,0,0.057612043,0,0
" [Anonymous], 2020, NEW STRAITS TIM",0.000153163,3.91E-12,0,0.078804118,0,0
" [Anonymous], 2020, RAG TAYANG BEL DAR ",0.000153163,9.16E-15,0,0.054477793,0,0
" [Anonymous], 2020, STATISTA LEADING E ",0.000153163,3.91E-12,0,0.078804118,0,0
" [Anonymous], 2021, FINANC TIME",0.000153163,2.79E-12,0,0.068784964,0,0
" [Anonymous], 2021, GVR168038145",0.000153163,0.000281417,0,0.057612043,0,0
" [Anonymous], ALLIANZ FLOODING: MORE LIKELY",0.000153163,3.91E-12,0,0.078804118,0,0
" [Anonymous], BALI PUSPA NEW",0.000153163,9.24E-18,0,0.082734588,0,0
" [Anonymous], BERNAMA MALACCA CLO",0.000153163,3.91E-12,0,0.078804118,0,0
" [Anonymous], C P ARICIS",0.000153163,2.20E-13,0,0.099160123,0,0
" [Anonymous], J PHYS C SERIES",0.000153163,4.81E-15,0,0.083960238,0,0
" [Anonymous], KEMENTERIAN PENDIDI",0.000153163,9.16E-15,0,0.094084588,0,0
" [Anonymous], OVERVIEW OCEAN COAS",0.000153163,3.21E-14,0,0.102157688,0,0
" [Anonymous], PAR PEND NAS AB 21 B",0.000153163,4.15E-12,0,0.109032915,0,0
" [Anonymous], REGULATION MINISTE",0.000153163,3.38E-12,0,0.108916507,0,0
" [Anonymous], SURFACE OCEAN PH LE",0.000153163,3.21E-14,0,0.102157688,0,0
" [Anonymous], TRIANTO 2010 MODEL PEMBELAJARAN TERPAD",0.000153163,4.59E-15,0,0.083942967,0,0
